image_name,Type_1,Type_2,Type_3
105.jpg,1.3587e-29,1.0,1.84517e-40
396.jpg,1.5332e-06,0.999998,2.84626e-33
210.jpg,1.0,2.83002e-27,0.0
167.jpg,1.0,3.47437e-10,1.98216e-22
70.jpg,1.38613e-20,1.0,9.68654e-21
85.jpg,3.68127e-36,1.0,1.47417e-42
192.jpg,5.6578e-22,0.00118236,0.998818
332.jpg,1.0,9.81758e-25,0.0
28.jpg,1.0,2.04548e-41,0.0
300.jpg,0.0,0.0,1.0
35.jpg,2.7579e-41,1.0,2.96969e-17
265.jpg,0.977424,0.0225757,1.04835e-33
152.jpg,1.0,0.0,0.0
134.jpg,5.35481e-26,1.0,2.54101e-23
383.jpg,1.0,5.73159e-32,2.57663e-27
25.jpg,3.48275e-13,1.0,1.80706e-14
181.jpg,1.0,6.8288e-10,4.1084e-28
259.jpg,1.0,0.0,0.0
9.jpg,5.3345e-28,1.0,5.29229e-14
477.jpg,0.0,0.0,1.0
48.jpg,1.0,1.38308e-38,0.0
466.jpg,3.70273e-10,1.0,2.27961e-37
364.jpg,0.0,1.0,0.0
371.jpg,1.0,3.24519e-13,0.0
185.jpg,1.0,0.0,0.0
345.jpg,1.0,0.0,0.0
377.jpg,1.45404e-40,0.285164,0.714837
0.jpg,5.75896e-35,1.0,8.72029e-23
473.jpg,0.0,0.0,1.0
279.jpg,8.08079e-36,1.0,4.38328e-26
472.jpg,0.0,0.0,1.0
240.jpg,1.0,1.22952e-21,0.0
214.jpg,2.28353e-14,1.0,1.36826e-38
267.jpg,0.998372,0.0016277,2.2844e-14
272.jpg,1.0,5.57206e-16,0.0
196.jpg,0.0,1.0,5.11548e-13
360.jpg,2.75982e-39,1.0,9.6841e-22
67.jpg,0.0,0.999512,0.00048814
23.jpg,1.0,4.82769e-22,2.68085e-24
302.jpg,1.0,3.38908e-30,0.0
335.jpg,3.24117e-19,1.0,6.19031e-33
138.jpg,0.0,0.0,1.0
424.jpg,1.0,0.0,0.0
315.jpg,1.0,2.37861e-32,0.0
357.jpg,1.9608e-35,0.0102596,0.98974
234.jpg,1.0,0.0,0.0
188.jpg,1.24825e-16,1.0,3.74967e-19
84.jpg,2.08195e-19,0.95362,0.0463805
362.jpg,1.44759e-21,1.0,2.91125e-13
421.jpg,1.0,3.72811e-32,0.0
261.jpg,1.0,0.0,0.0
217.jpg,1.4013e-45,1.0,1.07427e-28
395.jpg,1.0,3.11173e-35,0.0
388.jpg,0.0,0.0471653,0.952835
257.jpg,1.0,7.94536e-43,0.0
398.jpg,1.0,3.55709e-25,1.99351e-39
184.jpg,1.0,0.0,0.0
274.jpg,1.0,0.0,0.0
101.jpg,0.0,0.0,1.0
40.jpg,1.0,1.21371e-12,1.21781e-25
425.jpg,0.0,1.0,2.31163e-16
277.jpg,2.99483e-39,0.999903,9.7319e-05
470.jpg,1.97891e-23,1.0,6.50955e-26
216.jpg,1.0,0.0,0.0
282.jpg,1.0,1.61834e-11,0.0
147.jpg,0.0,0.943136,0.056864
149.jpg,1.0,2.91252e-25,0.0
245.jpg,5.5167e-05,0.999945,2.61048e-26
509.jpg,6.71464e-37,1.21698e-38,1.0
417.jpg,0.0,0.0,1.0
467.jpg,1.43427e-09,1.0,2.52502e-10
348.jpg,1.0,8.25143e-14,4.78113e-40
447.jpg,8.2117e-15,1.0,5.0997e-19
409.jpg,1.0,2.31554e-13,0.0
15.jpg,0.000514373,0.999486,1.70445e-26
380.jpg,0.999961,6.51816e-12,3.86638e-05
294.jpg,2.85279e-10,1.0,4.1009e-36
308.jpg,1.92019e-33,1.0,3.49432e-11
502.jpg,1.0,2.93662e-24,0.0
221.jpg,1.06452e-31,0.999615,0.000385018
198.jpg,0.0,9.86209e-33,1.0
349.jpg,1.0,0.0,0.0
249.jpg,0.993357,0.00664333,2.61143e-31
280.jpg,3.27065e-15,1.0,0.0
336.jpg,1.0,0.0,0.0
208.jpg,1.38157e-39,1.0,1.01932e-10
72.jpg,8.7613e-27,0.999998,2.22593e-06
351.jpg,1.0,0.0,0.0
483.jpg,1.50814e-28,1.0,6.19554e-16
385.jpg,1.0,1.27667e-39,0.0
209.jpg,6.64134e-16,1.0,0.0
204.jpg,0.267326,0.732674,2.39732e-12
434.jpg,0.0,0.0,1.0
163.jpg,4.25736e-16,1.0,1.38755e-18
334.jpg,1.0,1.57e-20,0.0
19.jpg,1.0,1.72989e-27,0.0
507.jpg,0.0,0.0,1.0
495.jpg,4.0695e-25,0.0758962,0.924104
293.jpg,1.0,3.07573e-14,1.20537e-38
432.jpg,0.921496,0.0785036,5.75993e-17
195.jpg,1.0,0.0,0.0
73.jpg,1.57807e-12,1.0,1.07355e-38
233.jpg,1.90005e-19,1.0,1.22123e-33
289.jpg,7.41098e-09,1.0,1.19708e-28
284.jpg,1.0,2.10069e-41,0.0
270.jpg,0.0,2.91563e-24,1.0
223.jpg,1.0,0.0,0.0
410.jpg,1.45657e-25,1.0,8.86608e-29
81.jpg,1.0,6.52824e-15,9.55803e-29
321.jpg,9.80855e-34,1.0,7.92526e-11
52.jpg,5.43704e-43,1.0,2.72635e-29
365.jpg,1.0,0.0,0.0
487.jpg,1.0,3.17402e-14,0.0
142.jpg,9.75306e-21,1.0,1.86909e-07
87.jpg,1.0,1.72153e-32,0.0
18.jpg,2.8026e-45,1.0,3.37358e-09
435.jpg,0.0,1.0,2.61371e-20
505.jpg,2.70277e-13,1.0,8.47176e-11
457.jpg,1.0,0.0,0.0
481.jpg,0.999948,5.22015e-05,1.20823e-33
449.jpg,1.02251e-08,1.0,3.68381e-17
53.jpg,3.4603e-25,0.0,1.0
180.jpg,1.0,7.84765e-13,0.0
468.jpg,1.0,2.73666e-12,7.08945e-41
260.jpg,0.0,0.0,1.0
252.jpg,8.04719e-24,1.0,1.08975e-19
445.jpg,1.0,1.08387e-20,1.39918e-40
393.jpg,1.0,1.32372e-16,0.0
165.jpg,1.0,0.0,0.0
485.jpg,1.0,0.0,0.0
312.jpg,1.0,1.35486e-16,0.0
455.jpg,0.999608,0.000392162,1.9685e-29
63.jpg,1.0,0.0,0.0
416.jpg,1.0,1.38729e-43,0.0
262.jpg,0.00100333,0.998997,1.2333e-18
61.jpg,0.0794383,0.920108,0.000453675
347.jpg,1.0,0.0,0.0
375.jpg,1.0,6.18264e-17,5.72911e-21
247.jpg,5.48417e-17,1.0,7.66582e-27
400.jpg,3.65739e-43,1.0,9.25108e-35
74.jpg,0.203335,0.796665,5.0423e-23
450.jpg,8.24251e-07,0.999999,2.03477e-22
50.jpg,6.99885e-13,1.0,6.97323e-21
14.jpg,0.0,0.0,1.0
116.jpg,0.0,1.0,4.05503e-12
411.jpg,1.0,0.0,0.0
131.jpg,1.95299e-31,0.00698756,0.993012
77.jpg,0.00525829,0.994742,4.36582e-32
229.jpg,7.00649e-45,0.140999,0.859001
2.jpg,4.82177e-26,1.0,2.47846e-11
353.jpg,1.0,1.71581e-32,0.0
446.jpg,1.0,0.0,0.0
442.jpg,0.000293435,0.999683,2.40285e-05
426.jpg,4.81767e-10,4.71229e-25,1.0
90.jpg,0.0,0.0,1.0
296.jpg,1.0,0.0,0.0
141.jpg,1.0,0.0,0.0
27.jpg,1.59668e-06,0.999998,8.11718e-12
471.jpg,0.0,4.06377e-44,1.0
474.jpg,1.0,0.0,0.0
122.jpg,6.38343e-30,0.687886,0.312114
370.jpg,2.82726e-05,0.999972,6.21642e-28
254.jpg,1.0,7.90277e-19,0.0
379.jpg,1.23806e-25,1.0,5.06683e-36
340.jpg,1.0,0.0,0.0
324.jpg,0.0,0.0,1.0
187.jpg,1.0,3.61338e-17,3.1291e-32
136.jpg,0.0,0.0,1.0
30.jpg,0.0,3.56415e-20,1.0
17.jpg,0.99999,9.96444e-06,3.8041e-32
436.jpg,0.0,2.13385e-13,1.0
493.jpg,8.21866e-11,1.0,5.58712e-29
109.jpg,0.0,1.0,6.78825e-26
169.jpg,1.38703e-18,1.0,8.49759e-13
222.jpg,2.27705e-26,1.0,3.24055e-23
389.jpg,5.59104e-13,1.0,3.50301e-23
201.jpg,1.0,1.67101e-26,1.51083e-39
1.jpg,2.21292e-12,1.0,2.5796e-21
68.jpg,1.0,6.7982e-19,1.40287e-36
129.jpg,0.771934,0.228067,4.08413e-40
189.jpg,3.40895e-08,1.0,1.39273e-23
510.jpg,1.0,1.32252e-28,0.0
230.jpg,1.0,0.0,0.0
137.jpg,1.0,7.6998e-40,0.0
151.jpg,4.02107e-28,0.999995,4.94691e-06
164.jpg,0.0,0.0,1.0
310.jpg,0.996796,0.00320381,8.58384e-17
92.jpg,4.80023e-18,1.0,4.79463e-11
401.jpg,0.0,5.34729e-23,1.0
478.jpg,1.0,0.0,0.0
422.jpg,0.00013921,0.999861,6.32422e-21
368.jpg,0.0,0.0,1.0
255.jpg,1.0,0.0,0.0
333.jpg,0.962374,0.037626,3.66563e-22
350.jpg,1.0,0.0,0.0
140.jpg,1.0,1.87087e-41,0.0
313.jpg,1.39779e-21,1.0,5.06202e-27
369.jpg,3.14422e-12,1.0,5.22084e-35
378.jpg,1.0,2.05693e-11,0.0
303.jpg,1.3046e-39,1.0,0.0
407.jpg,1.0,4.48324e-31,0.0
112.jpg,1.37622e-15,0.0014789,0.998521
135.jpg,0.0,0.985425,0.0145751
461.jpg,1.0,0.0,0.0
242.jpg,8.05868e-09,1.0,5.9749e-21
304.jpg,0.0,0.00547268,0.994527
355.jpg,0.0664841,0.933516,1.54332e-28
458.jpg,1.0,2.61647e-12,1.51926e-23
497.jpg,1.0,0.0,0.0
440.jpg,1.47726e-39,2.79477e-18,1.0
183.jpg,1.0152e-33,1.0,1.28309e-14
114.jpg,1.72353e-36,1.03322e-17,1.0
342.jpg,1.56039e-10,1.0,1.19818e-24
6.jpg,0.0,0.0,1.0
320.jpg,1.0,3.87766e-17,9.63005e-31
79.jpg,3.44798e-10,1.0,2.249e-27
492.jpg,1.55697e-12,1.0,3.29396e-29
155.jpg,1.20536e-21,5.20133e-09,1.0
154.jpg,2.91858e-25,0.999999,1.48279e-06
361.jpg,1.0,1.46584e-12,6.86248e-27
311.jpg,1.0,8.68993e-14,1.96774e-23
22.jpg,0.0,1.01312e-17,1.0
399.jpg,1.0,3.82477e-16,0.0
402.jpg,6.49166e-29,1.0,1.60254e-15
212.jpg,0.700268,0.299732,5.94593e-13
500.jpg,4.30181e-39,1.26385e-15,1.0
374.jpg,1.0,0.0,0.0
482.jpg,8.42642e-08,1.0,3.50695e-35
256.jpg,2.67819e-24,1.0,1.82243e-18
83.jpg,1.88788e-31,1.0,2.3264e-12
93.jpg,9.63228e-25,1.0,8.04278e-29
322.jpg,1.09301e-43,1.0,8.96201e-28
239.jpg,1.0,4.15455e-13,0.0
94.jpg,2.44998e-08,1.0,7.37623e-19
31.jpg,0.0,1.0,2.32366e-12
174.jpg,1.0,5.70684e-22,0.0
125.jpg,2.42645e-15,1.0,1.82174e-28
475.jpg,0.935487,0.064511,1.76932e-06
309.jpg,1.0,0.0,0.0
352.jpg,1.0,8.12903e-20,0.0
218.jpg,0.0,1.0,1.09918e-11
95.jpg,1.28317e-17,1.0,5.66614e-15
453.jpg,1.0,1.27642e-19,0.0
392.jpg,1.0,0.0,0.0
480.jpg,0.000999152,0.999001,8.17448e-36
319.jpg,2.28066e-06,0.999997,4.42347e-07
465.jpg,0.0,2.48174e-20,1.0
241.jpg,1.0,0.0,0.0
119.jpg,1.04884e-05,0.99999,2.79273e-11
231.jpg,1.0,0.0,0.0
170.jpg,1.0,0.0,0.0
236.jpg,1.0,0.0,0.0
173.jpg,1.0,1.10331e-17,1.94112e-27
8.jpg,0.0,0.0,1.0
253.jpg,5.59226e-09,1.0,4.04014e-35
98.jpg,0.999999,1.06112e-06,3.81606e-35
56.jpg,0.0,0.0,1.0
115.jpg,1.0,0.0,0.0
26.jpg,0.873991,0.126009,1.96162e-08
5.jpg,2.83653e-28,1.0,5.27144e-24
386.jpg,1.0,0.0,0.0
331.jpg,1.0,1.30464e-15,0.0
24.jpg,1.0,1.87589e-15,6.7451e-33
4.jpg,1.0,0.0,0.0
491.jpg,0.0,4.75742e-36,1.0
339.jpg,0.998649,0.00135072,9.0799e-33
506.jpg,1.06112e-11,1.0,7.70162e-17
325.jpg,3.23111e-15,0.303842,0.696158
200.jpg,0.0,1.0,1.43577e-38
391.jpg,1.0,0.0,0.0
172.jpg,0.0,0.000674628,0.999325
356.jpg,0.00062018,0.99938,1.38637e-13
464.jpg,5.84651e-17,1.0,0.0
55.jpg,7.66821e-21,1.0,1.02425e-07
412.jpg,0.0,1.0,3.11861e-22
295.jpg,0.97925,0.0207484,1.42023e-06
276.jpg,1.0,1.75652e-13,1.27546e-41
460.jpg,1.0,0.0,0.0
454.jpg,5.31791e-26,1.0,5.37308e-13
511.jpg,0.0,0.0,1.0
47.jpg,0.0,0.0,1.0
33.jpg,0.0,1.72409e-15,1.0
168.jpg,0.982914,0.0170859,4.10994e-22
498.jpg,1.0,0.0,0.0
176.jpg,0.000996491,0.999003,1.91761e-20
16.jpg,1.0,0.0,0.0
290.jpg,2.28503e-18,1.0,6.69221e-29
75.jpg,1.0,2.75362e-11,3.44409e-31
382.jpg,1.0,0.0,0.0
489.jpg,1.0,0.0,0.0
441.jpg,1.03093e-20,1.0,2.33808e-13
10.jpg,0.0,1.0,1.24815e-36
430.jpg,0.0,0.000511422,0.999489
499.jpg,0.99999,9.99577e-06,2.10737e-25
397.jpg,8.27318e-14,1.0,4.73023e-16
444.jpg,0.0,0.0,1.0
161.jpg,1.0,8.72688e-16,7.00649e-45
60.jpg,1.0,0.0,0.0
503.jpg,1.0,1.02806e-08,1.44075e-35
59.jpg,1.0,7.7524e-32,0.0
44.jpg,2.90624e-36,1.0,1.15399e-32
88.jpg,1.0,0.0,0.0
206.jpg,1.0,2.13278e-42,0.0
97.jpg,1.0,6.12604e-17,9.47505e-28
504.jpg,3.58522e-30,0.0759457,0.924054
34.jpg,1.0,7.20583e-10,8.75857e-29
186.jpg,1.0,3.03452e-10,5.82737e-30
65.jpg,1.0,8.97577e-26,0.0
43.jpg,0.0,1.0,8.30321e-15
266.jpg,1.0,1.76496e-12,2.53546e-33
143.jpg,1.71295e-15,0.997856,0.00214419
443.jpg,2.5369e-23,1.0,5.93728e-35
228.jpg,9.85393e-42,1.72221e-20,1.0
58.jpg,1.21021e-20,1.0,1.62926e-13
437.jpg,4.42476e-05,0.999956,8.60504e-31
318.jpg,1.0,1.39618e-07,1.37327e-43
150.jpg,3.44488e-29,1.0,0.0
338.jpg,1.0,5.20538e-21,0.0
171.jpg,0.0,0.0,1.0
251.jpg,1.0,5.47505e-27,0.0
37.jpg,9.37969e-34,7.22214e-06,0.999993
451.jpg,1.13443e-31,1.0,2.22925e-36
354.jpg,1.0,4.91912e-34,0.0
403.jpg,3.37366e-08,1.0,4.00078e-18
387.jpg,1.52003e-14,1.0,7.55986e-10
469.jpg,0.999995,5.00155e-06,7.28535e-42
117.jpg,1.0,9.8515e-31,0.0
238.jpg,1.0,1.09727e-09,9.3949e-28
158.jpg,1.0,5.32605e-13,3.62365e-20
298.jpg,1.70895e-18,0.351097,0.648903
268.jpg,1.0,0.0,0.0
373.jpg,1.0,0.0,0.0
86.jpg,2.8711e-23,1.0,3.15349e-22
215.jpg,3.32796e-25,1.0,1.97845e-23
126.jpg,1.69545e-12,1.0,5.09367e-23
329.jpg,2.28412e-43,1.0,1.06886e-11
156.jpg,1.0,0.0,0.0
107.jpg,3.33183e-17,1.0,3.2065e-08
433.jpg,6.56929e-18,0.919035,0.0809654
121.jpg,1.0,1.70186e-22,0.0
459.jpg,0.00606808,0.0850274,0.908905
203.jpg,0.0,0.0,1.0
327.jpg,1.0,0.0,0.0
299.jpg,2.37864e-31,1.0,4.69098e-09
490.jpg,1.71222e-14,1.0,0.0
307.jpg,1.04586e-25,1.0,1.82029e-42
359.jpg,1.0,0.0,0.0
127.jpg,1.0,0.0,0.0
64.jpg,2.55087e-24,1.0,8.9219e-33
237.jpg,0.0,0.999846,0.00015364
57.jpg,1.0,1.55519e-12,3.54529e-26
456.jpg,1.0,1.35526e-32,0.0
21.jpg,1.0,0.0,0.0
99.jpg,0.0,0.999819,0.000181298
415.jpg,6.24837e-08,0.0842891,0.915711
7.jpg,1.0,1.60533e-24,0.0
367.jpg,1.0,0.0,0.0
220.jpg,1.0,2.20549e-31,1.23813e-39
190.jpg,0.0,0.0,1.0
250.jpg,1.0,2.51216e-35,0.0
123.jpg,7.03195e-12,1.0,2.33583e-19
103.jpg,1.0,9.83363e-15,1.32768e-29
213.jpg,3.13305e-08,1.0,4.04275e-42
54.jpg,1.0,1.02544e-09,1.88106e-30
317.jpg,2.03428e-26,1.0,1.74947e-31
484.jpg,0.0,1.0,6.66366e-21
288.jpg,4.26997e-06,0.999996,0.0
113.jpg,1.0,1.21838e-20,1.98308e-33
219.jpg,1.14412e-22,1.0,7.7017e-12
49.jpg,8.69632e-36,1.0,3.39311e-18
69.jpg,1.0,0.0,0.0
29.jpg,6.94981e-28,1.0,1.79136e-23
32.jpg,1.0,1.55072e-29,1.4013e-45
110.jpg,1.12732e-29,0.999852,0.000148066
13.jpg,1.24351e-13,1.23833e-23,1.0
418.jpg,0.0,1.0,4.55847e-22
226.jpg,1.0,8.20624e-19,1.4013e-45
269.jpg,1.0,8.92213e-27,0.0
366.jpg,1.0,0.0,0.0
36.jpg,1.0,1.38451e-10,1.22981e-37
292.jpg,1.116e-23,1.0,9.08829e-12
376.jpg,0.0,0.0,1.0
102.jpg,1.0,3.08386e-17,0.0
286.jpg,0.99996,2.98196e-05,1.01153e-05
316.jpg,1.0,1.74863e-22,0.0
205.jpg,1.0,2.24557e-15,3.3218e-08
91.jpg,0.0,1.0,5.63841e-09
452.jpg,1.57029e-14,1.0,5.44209e-33
118.jpg,2.5053e-22,1.0,1.33846e-39
51.jpg,1.0,0.0,0.0
384.jpg,2.61611e-12,1.0,2.69229e-27
39.jpg,1.0,1.12405e-19,6.45999e-43
291.jpg,2.11305e-16,0.97704,0.0229596
128.jpg,1.0,0.0,0.0
182.jpg,1.0,5.6459e-17,0.0
305.jpg,1.0,7.12234e-09,4.28449e-21
283.jpg,1.0,0.0,0.0
132.jpg,0.0,3.34329e-15,1.0
330.jpg,5.36908e-30,1.0,1.80348e-32
153.jpg,1.17913e-07,1.0,1.87327e-19
287.jpg,2.01583e-10,6.71571e-08,1.0
431.jpg,1.0,2.11431e-11,4.09954e-25
427.jpg,2.14631e-05,0.999979,4.3301e-28
419.jpg,6.60014e-18,1.0,5.8304e-21
45.jpg,2.24914e-40,0.999973,2.69055e-05
405.jpg,5.25953e-30,1.0,8.81417e-43
372.jpg,0.0,0.0,1.0
246.jpg,7.62431e-11,1.0,7.00649e-45
235.jpg,0.986514,0.0134858,5.3361e-14
42.jpg,1.0,0.0,0.0
89.jpg,0.999987,1.34734e-05,3.1572e-15
408.jpg,0.000185906,0.999814,1.23806e-23
159.jpg,3.25813e-08,1.0,2.90366e-09
100.jpg,1.0,0.0,0.0
12.jpg,0.0,0.0,1.0
20.jpg,0.00600239,0.993998,4.98094e-18
133.jpg,1.0,4.78099e-07,8.07314e-31
278.jpg,1.0,0.0,0.0
314.jpg,0.0,1.0,2.8339e-22
62.jpg,2.48434e-17,1.0,1.12626e-33
258.jpg,3.30785e-35,1.0,9.4354e-22
363.jpg,1.27404e-06,0.999999,1.14307e-17
80.jpg,0.901097,0.0989032,7.8922e-10
448.jpg,1.0,1.17331e-08,4.11378e-20
139.jpg,1.0,6.99496e-13,0.0
394.jpg,3.2561e-19,0.0343479,0.965652
381.jpg,5.13844e-06,0.999995,1.61913e-31
429.jpg,1.53828e-23,1.0,2.29251e-40
104.jpg,0.000386851,0.999518,9.49279e-05
479.jpg,0.0,5.36277e-42,1.0
406.jpg,1.70052e-27,1.0,1.95671e-20
323.jpg,1.0,2.97507e-12,1.3572e-40
177.jpg,1.0,1.54265e-39,0.0
496.jpg,1.92954e-21,1.0,7.01773e-12
494.jpg,1.0,1.82412e-20,0.0
175.jpg,0.0,2.0381e-16,1.0
404.jpg,0.0,3.09913e-10,1.0
157.jpg,0.0,0.763176,0.236824
124.jpg,2.59008e-12,1.0,7.67285e-24
211.jpg,1.0,4.7263e-41,0.0
197.jpg,0.990328,0.00967159,2.45372e-23
488.jpg,4.04396e-37,1.0,1.60723e-32
328.jpg,1.0,0.0,0.0
11.jpg,6.69677e-39,1.0,3.64203e-21
346.jpg,0.0,0.0,1.0
179.jpg,0.0,0.995988,0.00401219
120.jpg,8.55378e-08,1.0,4.13224e-20
46.jpg,1.4445e-29,0.977842,0.0221584
301.jpg,1.0,0.0,0.0
244.jpg,2.79719e-06,0.999997,1.5962e-30
148.jpg,4.12755e-22,1.0,1.38802e-37
273.jpg,1.0,2.49735e-21,1.29046e-38
326.jpg,1.0,4.36e-41,0.0
144.jpg,0.6667,0.3333,2.74996e-31
